Strategy,Student,Step,AvgMastery
linucb,student_3,14,0.06681444798597769
linucb,student_3,15,0.06681444283651522
linucb,student_3,16,0.06681444210505742
linucb,student_3,17,0.06681444200115717
linucb,student_3,18,0.07991449984117792
linucb,student_3,19,0.06901998925585852
linucb,student_3,20,0.0671361973230421
linucb,student_3,21,0.06686032200654518
linucb,student_3,22,0.06682096260221417
linucb,student_3,23,0.08347077270195959
linucb,student_3,24,0.0697672375589113
linucb,student_3,25,0.06724919032266245
linucb,student_3,26,0.06687651801872195
linucb,student_3,27,0.06682326613840434
linucb,student_3,28,0.06681569554697026
linucb,student_3,29,0.08934473867185116
linucb,student_3,30,0.12081126894274867
linucb,student_3,31,0.134514416504799
linucb,student_3,32,0.13632292476471192
linucb,student_3,33,0.13657267033696305
linucb,student_3,34,0.16185130281848023
linucb,student_3,35,0.19087842896276053
linucb,student_3,36,0.2043890851952019
linucb,student_3,37,0.2138507255371451
linucb,student_3,38,0.22214697276270903
linucb,student_3,39,0.22331821591645248
linucb,student_3,40,0.23841859534288937
linucb,student_4,1,0.1317011804339198
linucb,student_4,2,0.13264682266397262
linucb,student_4,3,0.13277916341917337
linucb,student_4,4,0.13279792240371452
linucb,student_4,5,0.1455790322171525
linucb,student_4,6,0.16812863259775288
linucb,student_4,7,0.19201767918920354
